invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,hour,day_of_week,month,Revenue,Profit,price_range,time_segment,is_weekend,transaction_size
1,WALM003,San Antonio,Health and beauty,74.69,7.0,2019-05-01,1900-01-01 13:08:00,Ewallet,9.1,0.48,13,Wednesday,May,522.8299999999999,250.95839999999995,High,Afternoon,False,Very Large
2,WALM048,Harlingen,Electronic accessories,15.28,5.0,2019-08-03,1900-01-01 10:29:00,Cash,9.6,0.48,10,Saturday,August,76.39999999999999,36.672,Low,Morning,True,Medium
3,WALM067,Haltom City,Home and lifestyle,46.33,7.0,2019-03-03,1900-01-01 13:23:00,Credit card,7.4,0.33,13,Sunday,March,324.31,107.0223,Medium,Afternoon,True,Large
4,WALM064,Bedford,Health and beauty,58.22,8.0,2019-01-27,1900-01-01 20:33:00,Ewallet,8.4,0.33,20,Sunday,January,465.76,153.70080000000002,High,Evening,True,Large
5,WALM013,Irving,Sports and travel,86.31,7.0,2019-08-02,1900-01-01 10:37:00,Ewallet,5.3,0.48,10,Friday,August,604.1700000000001,290.0016,High,Morning,False,Very Large
6,WALM026,Denton,Electronic accessories,85.39,7.0,2019-03-25,1900-01-01 18:30:00,Ewallet,4.1,0.48,18,Monday,March,597.73,286.9104,High,Afternoon,False,Very Large
7,WALM088,Cleburne,Electronic accessories,68.84,6.0,2019-02-25,1900-01-01 14:36:00,Ewallet,5.8,0.33,14,Monday,February,413.04,136.3032,High,Afternoon,False,Large
8,WALM100,Canyon,Home and lifestyle,73.56,10.0,2019-02-24,1900-01-01 11:38:00,Ewallet,8.0,0.18,11,Sunday,February,735.6,132.408,High,Morning,True,Very Large
9,WALM066,Grapevine,Health and beauty,36.26,2.0,2019-10-01,1900-01-01 17:15:00,Credit card,7.2,0.33,17,Tuesday,October,72.52,23.9316,Medium,Afternoon,False,Medium
10,WALM065,Texas City,Food and beverages,54.84,3.0,2019-02-20,1900-01-01 13:27:00,Credit card,5.9,0.33,13,Wednesday,February,164.52,54.2916,High,Afternoon,False,Large
11,WALM013,Irving,Fashion accessories,14.48,4.0,2019-06-02,1900-01-01 18:07:00,Ewallet,4.5,0.48,18,Sunday,June,57.92,27.8016,Low,Afternoon,True,Medium
12,WALM035,San Angelo,Electronic accessories,25.51,4.0,2019-09-03,1900-01-01 17:03:00,Cash,6.8,0.48,17,Tuesday,September,102.04,48.9792,Medium,Afternoon,False,Medium
13,WALM027,Abilene,Electronic accessories,46.95,5.0,2019-12-02,1900-01-01 10:25:00,Ewallet,7.1,0.48,10,Monday,December,234.75,112.67999999999999,Medium,Morning,False,Large
